date,week,action,code,name,reason
2026-07-12,2026-W28,add,8918,(株)ランド,出来高1位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4564,オンコセラピー・サイエンス(株),出来高2位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4597,ソレイジア・ファーマ(株),出来高4位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6740,(株)ジャパンディスプレイ,出来高9位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,3350,(株)メタプラネット,出来高11位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),値上がり率1位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4381,ビープラッツ(株),値上がり率2位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4424,(株)Ａｍａｚｉａ,値上がり率3位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4833,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,値上がり率4位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,2997,(株)ストレージ王,値上がり率5位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,5018,(株)ＭＯＲＥＳＣＯ,値上がり率6位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,9399,ビート・ホールディングス・リミテッド,値上がり率7位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6327,北川精機(株),値上がり率8位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6227,ＡＩメカテック(株),値上がり率9位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,472A,(株)ミラティブ,値上がり率10位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4575,(株)キャンバス,値上がり率12位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),値上がり率13位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4935,(株)リベルタ,値上がり率14位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6194,(株)アトラエ,値上がり率15位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,5243,ｎｏｔｅ(株),値上がり率16位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,9854,愛眼(株),値上がり率17位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,3276,(株)ＪＰＭＣ,値上がり率18位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4372,ユミルリンク(株),値上がり率19位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,268A,リガク・ホールディングス(株),値上がり率20位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,9941,太洋物産(株),値上がり率21位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,7803,(株)ブシロード,値上がり率22位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6266,タツモ(株),値上がり率24位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,5255,(株)モンスターラボ,値上がり率25位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6387,サムコ(株),値上がり率26位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,7719,(株)東京衡機,値上がり率27位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,4673,川崎地質(株),値上がり率28位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,6336,(株)石井表記,値上がり率29位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,add,5013,(株)ユシロ,値上がり率30位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-12,2026-W28,remove,7013,IHI,4週連続でランキング圏外・直近の集中度0.88x(<1.3)のため除外
2026-07-20,2026-W30,add,5242,(株)アイズ,値上がり率1位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,150A,(株)ＪＳＨ,値上がり率2位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,5216,(株)倉元製作所,値上がり率3位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7501,(株)ティムコ,値上がり率4位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7581,(株)サイゼリヤ,値上がり率6位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,値上がり率8位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,6573,ＣＲＡＶＩＡ(株),値上がり率9位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,1827,(株)ナカノフドー建設,値上がり率10位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7031,(株)インバウンドテック,値上がり率11位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,559A,梅乃宿酒造(株),値上がり率12位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7640,(株)トップカルチャー,値上がり率13位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,9170,成友興業(株),値上がり率14位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7808,(株)シー・エス・ランバー,値上がり率15位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,1795,(株)マサル,値上がり率16位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,5241,(株)日本オーエー研究所,値上がり率17位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7807,(株)幸和製作所,値上がり率19位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,7694,(株)いつも,値上がり率20位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,2484,(株)出前館,値上がり率21位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,3850,(株)ＮＴＴデータイントラマート,値上がり率22位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,4591,(株)リボミック,値上がり率24位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,6572,オープングループ(株),値上がり率25位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,542A,(株)ビタブリッドジャパン,値上がり率26位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,9439,(株)エム・エイチ・グループ,値上がり率27位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,2337,いちご(株),値上がり率28位 にランクイン(ユニバース外の話題株として新規採用)
2026-07-20,2026-W30,add,6505,東洋電機製造(株),値上がり率30位 にランクイン(ユニバース外の話題株として新規採用)
